Description,Device,Value,Footprint,Quantity,Supplier,Order Code,References

BATTERY HOLDER COIN 20MM SMD,BU2032SM-BT-GTR,,CR2032_HOLDER,2,Digikey,BU2032SM-BT-GCT-ND,B1;B2
SWITCH TACTILE SPST-NO 0.05A 12V,SWITCH_PUSHBUTTON_NO,,TACT6mm,1,Digikey,CKN9112CT-ND,BUT1
CAP CER 0.1UF 50V Y5V 0805,CAPACITOR,100nF,my0805,2,Digikey,1276-1007-1-ND,C1;C6
CAP CER 22PF 25V C0G/NP0 0805,CAPACITOR,22pF,my0805,2,Digikey,732-7829-1-ND,C2;C3
CAP CER 1UF 25V X7R 0805,CAPACITOR,1uF,my0805,1,Digikey,1276-1066-1-ND,C4
CONN RCPT USB2.0 MICRO B SMD R/A,10118194-0001LF,,usb_micro_b_10118194,1,Digikey,609-4618-1-ND,CONN1
LED RED CLEAR 5MM OVAL T/H,C5SMF-RJF-CT0W0BB2,,LED_5,7,Digikey,C5SMF-RJF-CT0W0BB2CT-ND,LED10;LED11;LED12;LED13;LED14;LED8;LED9
LED GREEN CLEAR T-1 3/4 T/H,HLMP3950A,,LED_5,7,Digikey,1080-1059-ND,LED15;LED16;LED17;LED18;LED19;LED20;LED21
5MM WHITE LED W/ WIDE VIEWING AN,BL-BZX3V4V-1-B02,,LED_5,7,Digikey,BL-BZX3V4V-1-B02-ND,LED1;LED2;LED3;LED4;LED5;LED6;LED7
RES 120 OHM 5% 1/8W 0805,RESISTOR,120R,my0805,21,Digikey,RMCF0805JT120RCT-ND,R1;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R2;R20;R21;R3;R4;R5;R6;R7;R8;R9
CRGCQ 0805 22R 5%,RESISTOR,22R,my0805,2,Digikey,A130124CT-ND,R22;R23
RES 10K OHM 5% 1/8W 0805,RESISTOR,10k,my0805,1,Digikey,RMCF0805JT10K0DKR-ND,R24
IC MCU 8BIT 16KB FLASH 32TQFP,ATMEGA16U2-AU,,QFP32_70x70,1,Digikey,ATMEGA16U2-AU-ND,U1
CRYSTAL 16.0000MHZ 18PF SMD,ABLS-16.000MHZ-B4-T,,XTAL2_150x50,1,Digikey,535-10226-1-ND,X1



DNF PARTS:
Virtual part,HOLE,,hole5,0,,,H1
Virtual part,terminal,,pad50x20,0,,,T1
Virtual part,terminal,,pad50x20,0,,,T2
Virtual part,terminal,,pad50x20,0,,,T3
Virtual part,terminal,,pad50x20,0,,,T4
Virtual part,terminal,,pad50x20,0,,,T5
Virtual part,terminal,,pad50x20,0,,,T6
Virtual part,terminal,,pad50x20,0,,,T7
Virtual part,terminal,,pad50x20,0,,,T8
