Description	Device	Value	Footprint	Part Number	Supplier	Stock			

CRYSTAL 16.0000MHZ 18PF SMD	 ABLS-16.000MHZ-B4-T		XTAL2_150x50	535-10226-1-ND	Digikey
IC MCU 8BIT 16KB FLASH 32TQFP	ATMEGA16U2-AU		QFP32_70x70	ATMEGA16U2-AU-ND	Digikey
RES 120 OHM 5% 1/8W 0805	RESISTOR	120R	my0805	RMCF0805JT120RCT-ND	Digikey
CAP CER 22PF 25V C0G/NP0 0805	CAPACITOR	22pF	my0805	732-7829-1-ND	Digikey
CAP CER 0.1UF 50V Y5V 0805	CAPACITOR	100nF	my0805	1276-1007-1-ND	Digikey
CONN RCPT USB2.0 MICRO B SMD R/A	10118194-0001LF		usb_micro_b_10118194	609-4618-1-ND	Digikey
CAP CER 1UF 25V X7R 0805	CAPACITOR	1uF	my0805	1276-1066-1-ND	Digikey
BATTERY HOLDER COIN 20MM SMD	BU2032SM-BT-GTR		CR2032_HOLDER	BU2032SM-BT-GCT-ND	Digikey
RES 10K OHM 5% 1/8W 0805	RESISTOR	10k	my0805	RMCF0805JT10K0DKR-ND	Digikey
5MM WHITE LED W/ WIDE VIEWING AN	BL-BZX3V4V-1-B02		LED_5	BL-BZX3V4V-1-B02-ND	Digikey
LED RED CLEAR 5MM OVAL T/H	C5SMF-RJF-CT0W0BB2		LED_5	C5SMF-RJF-CT0W0BB2CT-ND	Digikey
LED GREEN CLEAR T-1 3/4 T/H	HLMP3950A		LED_5	1080-1059-ND	Digikey
SWITCH TACTILE SPST-NO 0.05A 12V	SWITCH_PUSHBUTTON_NO		TACT6mm	 CKN9112CT-ND	Digikey
CRGCQ 0805 22R 5%	RESISTOR	22R	my0805	A130124CT-ND	Digikey
